#mNLSP mLSP boostEff resEff totalEff   bin1Eff   bin2Eff   bin3Eff   bin4Eff   bin5Eff   bin6Eff   bin7Eff   bin8Eff   bin9Eff  bin10Eff  bin11Eff  bin12Eff  bin13Eff  bin14Eff  bin15Eff  bin16Eff  bin17Eff  bin18Eff  bin19Eff  bin20Eff  bin21Eff  bin22Eff
150 25 0.0000000 0.0000108 0.0000108 0.0000000 0.0000000 0.0000000 0.0000000 0.0000025 0.0000015 0.0000000 0.0000000 0.0000018 0.0000000 0.0000000 0.0000000 0.0000050 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
175 25 0.0000000 0.0001766 0.0001766 0.0000157 0.0000000 0.0000000 0.0000000 0.0000388 0.0000297 0.0000018 0.0000000 0.0000383 0.0000000 0.0000000 0.0000000 0.0000373 0.0000087 0.0000062 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
175 50 0.0000000 0.0000222 0.0000222 0.0000000 0.0000000 0.0000000 0.0000000 0.0000052 0.0000025 0.0000000 0.0000000 0.0000017 0.0000000 0.0000000 0.0000000 0.0000076 0.0000052 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
200 25 0.0000073 0.0012885 0.0012958 0.0000362 0.0000162 0.0000000 0.0000000 0.0001548 0.0000970 0.0000136 0.0000017 0.0001811 0.0000915 0.0000088 0.0000000 0.0004449 0.0002377 0.0000049 0.0000000 0.0000047 0.0000000 0.0000000 0.0000026 0.0000000 0.0000000
200 50 0.0000088 0.0004178 0.0004266 0.0000217 0.0000076 0.0000019 0.0000000 0.0000745 0.0000462 0.0000031 0.0000049 0.0000580 0.0000081 0.0000000 0.0000000 0.0001654 0.0000265 0.0000000 0.0000000 0.0000088 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
200 75 0.0000063 0.0000887 0.0000950 0.0000000 0.0000000 0.0000000 0.0000000 0.0000101 0.0000062 0.0000050 0.0000040 0.0000087 0.0000029 0.0000000 0.0000000 0.0000392 0.0000123 0.0000002 0.0000002 0.0000063 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
225 50 0.0000172 0.0022475 0.0022647 0.0000836 0.0000472 0.0000043 0.0000000 0.0002399 0.0001246 0.0000233 0.0000000 0.0002997 0.0001425 0.0000048 0.0000000 0.0007859 0.0004574 0.0000301 0.0000042 0.0000137 0.0000000 0.0000000 0.0000035 0.0000000 0.0000000
225 75 0.0000157 0.0008931 0.0009088 0.0000315 0.0000207 0.0000000 0.0000000 0.0000946 0.0000985 0.0000127 0.0000000 0.0001568 0.0000248 0.0000000 0.0000000 0.0003609 0.0000807 0.0000094 0.0000025 0.0000126 0.0000000 0.0000000 0.0000031 0.0000000 0.0000000
225 100 0.0000230 0.0001342 0.0001573 0.0000055 0.0000058 0.0000000 0.0000000 0.0000449 0.0000140 0.0000060 0.0000000 0.0000193 0.0000026 0.0000000 0.0000000 0.0000272 0.0000087 0.0000000 0.0000000 0.0000202 0.0000029 0.0000000 0.0000000 0.0000000 0.0000000
250 100 0.0000122 0.0012923 0.0013045 0.0000387 0.0000214 0.0000039 0.0000000 0.0001503 0.0000878 0.0000000 0.0000000 0.0001897 0.0000907 0.0000073 0.0000000 0.0004388 0.0002594 0.0000042 0.0000000 0.0000122 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
250 125 0.0000131 0.0002885 0.0003016 0.0000051 0.0000000 0.0000000 0.0000000 0.0000386 0.0000277 0.0000214 0.0000046 0.0000217 0.0000302 0.0000000 0.0000000 0.0000687 0.0000645 0.0000045 0.0000015 0.0000131 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
