#mGluino mLSP boostEff resEff totalEff bin1Eff   bin2Eff   bin3Eff   bin4Eff   bin5Eff   bin6Eff   bin7Eff   bin8Eff   bin9Eff  bin10Eff  bin11Eff  bin12Eff  bin13Eff  bin14Eff  bin15Eff  bin16Eff  bin17Eff  bin18Eff  bin19Eff  bin20Eff  bin21Eff  bin22Eff
1000 1 0.0430578 0.0126645 0.0557222 0.0000611 0.0002357 0.0003281 0.0019474 0.0002628 0.0008137 0.0010143 0.0050765 0.0000174 0.0001015 0.0001839 0.0007094 0.0000470 0.0002307 0.0003549 0.0012801 0.0086096 0.0092143 0.0077205 0.0060157 0.0065026 0.0049951
1100 1 0.0551985 0.0114044 0.0666028 0.0000476 0.0002507 0.0002158 0.0018233 0.0001877 0.0006886 0.0008382 0.0051655 0.0000217 0.0000579 0.0001301 0.0005220 0.0000220 0.0001099 0.0002822 0.0010412 0.0090071 0.0102353 0.0130587 0.0065061 0.0074860 0.0089052
1200 1 0.0677419 0.0100520 0.0777939 0.0000714 0.0001528 0.0002465 0.0017836 0.0001806 0.0005267 0.0006610 0.0047574 0.0000126 0.0000456 0.0001181 0.0004238 0.0000126 0.0001114 0.0001897 0.0007583 0.0093458 0.0107153 0.0187096 0.0070338 0.0079958 0.0139416
1300 1 0.0787146 0.0085691 0.0872836 0.0000309 0.0001154 0.0001720 0.0015867 0.0001162 0.0004339 0.0005324 0.0044116 0.0000036 0.0000302 0.0000765 0.0003008 0.0000249 0.0000620 0.0001475 0.0005243 0.0091226 0.0107875 0.0245556 0.0071862 0.0082695 0.0187932
1400 1 0.0884411 0.0069438 0.0953849 0.0000449 0.0001082 0.0001659 0.0011602 0.0001012 0.0003268 0.0004038 0.0036930 0.0000037 0.0000346 0.0000515 0.0002625 0.0000154 0.0000455 0.0000676 0.0004590 0.0089028 0.0106785 0.0297489 0.0071042 0.0081242 0.0238826
1500 1 0.0965778 0.0059013 0.1024791 0.0000184 0.0001006 0.0001408 0.0010842 0.0000921 0.0002570 0.0003531 0.0031479 0.0000058 0.0000281 0.0000509 0.0002206 0.0000055 0.0000374 0.0000634 0.0002956 0.0083888 0.0104046 0.0352115 0.0070412 0.0079742 0.0275575
1600 1 0.1056750 0.0046981 0.1103730 0.0000152 0.0000543 0.0000977 0.0008723 0.0000645 0.0002400 0.0002453 0.0025953 0.0000043 0.0000071 0.0000267 0.0001243 0.0000049 0.0000268 0.0000512 0.0002680 0.0084430 0.0101640 0.0398437 0.0067100 0.0081895 0.0323247
1700 1 0.1119762 0.0038401 0.1158163 0.0000196 0.0000617 0.0000721 0.0007903 0.0000299 0.0001556 0.0002068 0.0021269 0.0000000 0.0000058 0.0000065 0.0000889 0.0000030 0.0000125 0.0000266 0.0002339 0.0077891 0.0098808 0.0438034 0.0063802 0.0081269 0.0359958
1800 1 0.1161282 0.0030313 0.1191595 0.0000043 0.0000382 0.0000567 0.0005903 0.0000371 0.0001474 0.0001852 0.0017107 0.0000023 0.0000097 0.0000181 0.0000544 0.0000055 0.0000098 0.0000125 0.0001492 0.0072321 0.0095079 0.0463595 0.0062564 0.0075292 0.0392430
1900 1 0.1225725 0.0024594 0.1250320 0.0000085 0.0000358 0.0000649 0.0004808 0.0000278 0.0000918 0.0001282 0.0013972 0.0000000 0.0000047 0.0000124 0.0000532 0.0000021 0.0000092 0.0000204 0.0001227 0.0069946 0.0085943 0.0516572 0.0058760 0.0071770 0.0422734
2000 1 0.1273826 0.0018977 0.1292803 0.0000055 0.0000276 0.0000259 0.0003617 0.0000124 0.0000736 0.0000884 0.0010833 0.0000000 0.0000061 0.0000055 0.0000629 0.0000034 0.0000089 0.0000116 0.0001209 0.0064887 0.0084388 0.0548437 0.0057750 0.0071498 0.0446866
2100 1 0.1317512 0.0015282 0.1332794 0.0000095 0.0000290 0.0000176 0.0003240 0.0000084 0.0000594 0.0000771 0.0008668 0.0000000 0.0000021 0.0000039 0.0000546 0.0000013 0.0000077 0.0000071 0.0000595 0.0062920 0.0081241 0.0569501 0.0054022 0.0066931 0.0482897
2200 1 0.1347625 0.0012455 0.1360080 0.0000045 0.0000149 0.0000391 0.0002861 0.0000139 0.0000307 0.0000537 0.0007249 0.0000000 0.0000000 0.0000000 0.0000250 0.0000000 0.0000023 0.0000061 0.0000444 0.0060197 0.0077518 0.0601454 0.0047604 0.0063657 0.0497195
2300 1 0.1378360 0.0010174 0.1388534 0.0000065 0.0000115 0.0000184 0.0002002 0.0000024 0.0000366 0.0000496 0.0006256 0.0000000 0.0000000 0.0000000 0.0000176 0.0000012 0.0000040 0.0000011 0.0000426 0.0057184 0.0073883 0.0618205 0.0047157 0.0060024 0.0521907
2400 1 0.1401844 0.0007742 0.1409585 0.0000014 0.0000113 0.0000138 0.0001673 0.0000068 0.0000120 0.0000282 0.0004829 0.0000000 0.0000000 0.0000000 0.0000283 0.0000000 0.0000000 0.0000000 0.0000222 0.0052504 0.0070784 0.0635405 0.0047265 0.0059623 0.0536262
2500 1 0.1430867 0.0006907 0.1437774 0.0000002 0.0000028 0.0000225 0.0001655 0.0000034 0.0000315 0.0000285 0.0003621 0.0000000 0.0000009 0.0000009 0.0000176 0.0000009 0.0000036 0.0000046 0.0000458 0.0049828 0.0065488 0.0660386 0.0042045 0.0058844 0.0554276
