#mChi01 mG boostEff resEff totalEff   bin1Eff   bin2Eff   bin3Eff   bin4Eff   bin5Eff   bin6Eff   bin7Eff   bin8Eff   bin9Eff  bin10Eff  bin11Eff  bin12Eff  bin13Eff  bin14Eff  bin15Eff  bin16Eff  bin17Eff  bin18Eff  bin19Eff  bin20Eff  bin21Eff  bin22Eff
150 1 0.0000000 0.0000149 0.0000149 0.0000020 0.0000000 0.0000000 0.0000000 0.0000030 0.0000007 0.0000000 0.0000000 0.0000035 0.0000010 0.0000000 0.0000000 0.0000048 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
175 1 0.0000068 0.0003199 0.0003267 0.0000153 0.0000101 0.0000000 0.0000000 0.0000706 0.0000325 0.0000013 0.0000000 0.0000506 0.0000077 0.0000000 0.0000000 0.0001143 0.0000175 0.0000000 0.0000000 0.0000035 0.0000000 0.0000000 0.0000032 0.0000000 0.0000000
200 1 0.0000105 0.0016277 0.0016382 0.0000674 0.0000356 0.0000076 0.0000000 0.0001808 0.0000810 0.0000090 0.0000000 0.0002677 0.0001031 0.0000000 0.0000000 0.0005853 0.0002775 0.0000129 0.0000000 0.0000082 0.0000000 0.0000000 0.0000023 0.0000000 0.0000000
225 1 0.0000400 0.0039466 0.0039867 0.0001174 0.0000885 0.0000123 0.0000006 0.0004015 0.0002320 0.0000470 0.0000085 0.0005389 0.0003527 0.0000432 0.0000000 0.0011902 0.0008187 0.0000892 0.0000059 0.0000253 0.0000010 0.0000000 0.0000125 0.0000012 0.0000000
250 1 0.0001071 0.0077928 0.0078999 0.0002725 0.0001708 0.0000171 0.0000064 0.0007399 0.0006013 0.0000501 0.0000082 0.0010301 0.0007891 0.0000892 0.0000050 0.0020608 0.0016318 0.0002914 0.0000292 0.0000345 0.0000055 0.0000000 0.0000659 0.0000013 0.0000000
275 1 0.0002874 0.0125850 0.0128723 0.0003775 0.0003702 0.0000525 0.0000111 0.0012065 0.0011176 0.0001497 0.0000416 0.0012422 0.0014264 0.0001760 0.0000262 0.0028269 0.0028661 0.0005788 0.0001156 0.0000811 0.0000128 0.0000000 0.0001865 0.0000070 0.0000000
300 1 0.0004281 0.0174923 0.0179204 0.0005257 0.0006087 0.0000811 0.0000218 0.0014778 0.0017274 0.0002226 0.0000550 0.0013305 0.0022863 0.0002942 0.0000645 0.0030445 0.0047201 0.0008066 0.0002255 0.0001565 0.0000189 0.0000019 0.0002434 0.0000073 0.0000000
325 1 0.0008029 0.0233814 0.0241843 0.0005721 0.0009643 0.0002089 0.0000214 0.0016900 0.0028759 0.0005575 0.0001060 0.0013107 0.0030855 0.0005998 0.0001763 0.0028977 0.0064753 0.0014809 0.0003590 0.0002018 0.0000272 0.0000018 0.0005228 0.0000482 0.0000012
350 1 0.0013057 0.0292440 0.0305497 0.0006358 0.0013023 0.0003188 0.0000496 0.0018557 0.0037871 0.0009507 0.0001941 0.0012198 0.0036667 0.0011279 0.0002670 0.0026736 0.0081476 0.0024880 0.0005593 0.0003150 0.0000462 0.0000079 0.0008893 0.0000472 0.0000000
375 1 0.0021991 0.0336917 0.0358907 0.0007041 0.0015459 0.0004998 0.0001069 0.0020686 0.0046131 0.0015433 0.0002745 0.0010773 0.0036602 0.0016705 0.0003743 0.0025202 0.0082914 0.0038632 0.0008784 0.0005017 0.0001020 0.0000172 0.0014500 0.0001201 0.0000081
400 1 0.0029587 0.0391639 0.0421225 0.0006933 0.0017163 0.0008774 0.0001550 0.0022753 0.0052883 0.0023259 0.0005386 0.0009728 0.0036511 0.0024395 0.0005683 0.0023013 0.0083210 0.0056718 0.0013680 0.0007051 0.0000872 0.0000187 0.0019259 0.0001863 0.0000354
425 1 0.0041562 0.0452017 0.0493580 0.0007240 0.0019661 0.0012213 0.0003056 0.0022865 0.0062594 0.0036222 0.0008426 0.0009613 0.0035215 0.0031339 0.0010945 0.0020616 0.0081274 0.0069296 0.0021444 0.0010521 0.0001244 0.0000214 0.0026424 0.0002823 0.0000337
450 1 0.0056315 0.0483715 0.0540031 0.0007093 0.0020932 0.0014412 0.0004682 0.0022338 0.0062808 0.0046095 0.0013004 0.0008952 0.0032846 0.0031741 0.0014578 0.0019542 0.0073548 0.0076831 0.0034314 0.0012684 0.0001806 0.0000346 0.0036552 0.0004257 0.0000671
475 1 0.0078381 0.0527154 0.0605535 0.0007321 0.0021509 0.0018088 0.0007046 0.0023017 0.0065774 0.0055018 0.0022511 0.0007231 0.0029079 0.0032808 0.0020331 0.0018892 0.0069526 0.0080396 0.0048608 0.0016774 0.0003132 0.0000567 0.0049082 0.0007420 0.0001405
500 1 0.0097865 0.0569696 0.0667561 0.0007738 0.0022924 0.0020820 0.0012443 0.0023228 0.0067067 0.0058607 0.0037459 0.0007233 0.0027520 0.0035031 0.0027597 0.0015884 0.0061684 0.0077940 0.0066522 0.0020393 0.0003896 0.0000824 0.0061979 0.0009259 0.0001512
525 1 0.0121589 0.0600107 0.0721696 0.0007169 0.0022636 0.0022039 0.0017088 0.0022293 0.0068132 0.0066741 0.0050662 0.0005775 0.0025052 0.0031593 0.0034323 0.0013938 0.0061162 0.0073077 0.0078427 0.0024734 0.0005075 0.0001251 0.0074648 0.0013925 0.0001955
550 1 0.0144028 0.0626116 0.0770143 0.0006726 0.0021989 0.0022460 0.0023244 0.0022087 0.0067071 0.0069841 0.0067060 0.0005315 0.0022400 0.0028940 0.0037665 0.0013307 0.0055313 0.0070821 0.0091877 0.0026262 0.0005835 0.0001636 0.0089711 0.0017440 0.0003144
