# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
DATA, 2018, 320857, 107, 155864348, 315
DATA, 2018, 315973, 162, 186838597, 362
DATA, 2018, 315973, 808, 913210034, 688
DATA, 2018, 315322, 264, 198708378, 350
DATA, 2018, 319639, 1445, 2112877711, 309
DATA, 2018, 317392, 795, 1106546746, 310
DATA, 2018, 317392, 824, 1149921557, 311
DATA, 2018, 322022, 1195, 2061432479, 365
DATA, 2018, 319756, 1427, 2282652618, 319
DATA, 2018, 317650, 613, 906512521, 324
DATA, 2018, 316876, 244, 344317585, 384
DATA, 2018, 317320, 1211, 1799038614, 317
DATA, 2018, 317488, 139, 194399121, 335
DATA, 2018, 320065, 241, 390878759, 300
DATA, 2018, 316082, 286, 366106291, 330
DATA, 2018, 315800, 265, 327093804, 351
DATA, 2018, 316187, 345, 457462167, 339
DATA, 2018, 316199, 965, 1341219795, 476
DATA, 2018, 321457, 798, 1282820350, 384
DATA, 2018, 317650, 1022, 1531510768, 302
DATA, 2018, 319639, 1264, 1833924700, 326
DATA, 2018, 321457, 1653, 2568465259, 358
DATA, 2018, 319656, 167, 169481808, 343
DATA, 2018, 319756, 1157, 1864134066, 640
DATA, 2018, 316666, 133, 163044143, 317
DATA, 2018, 317527, 822, 1153814546, 306
DATA, 2018, 320804, 96, 99381306, 348
DATA, 2018, 317649, 163, 239278246, 349
DATA, 2018, 320809, 313, 484660891, 475
DATA, 2018, 319524, 484, 683439831, 355
DATA, 2018, 317591, 149, 187456820, 308
DATA, 2018, 315703, 103, 116381686, 465
DATA, 2018, 316187, 701, 948075417, 352
DATA, 2018, 316569, 66, 67667888, 391
DATA, 2018, 315267, 36, 35194603, 331
DATA, 2018, 315689, 159, 177626972, 301
DATA, 2018, 315713, 1087, 1244253251, 315
DATA, 2018, 316114, 38, 42336809, 378
DATA, 2018, 320824, 302, 477093931, 478
DATA, 2018, 317392, 1261, 1793460447, 313
DATA, 2018, 317626, 224, 308248800, 408
DATA, 2018, 317640, 561, 816041844, 366
DATA, 2018, 316380, 29, 21103936, 321
DATA, 2018, 316380, 844, 686004131, 300
DATA, 2018, 316505, 498, 591703719, 304
DATA, 2018, 317087, 650, 848082330, 385
DATA, 2018, 320038, 234, 324856546, 327
DATA, 2018, 317435, 477, 674850463, 486
DATA, 2018, 317591, 227, 291748746, 303
DATA, 2018, 321817, 208, 368678453, 307
DATA, 2018, 317696, 360, 511834771, 321
DATA, 2018, 321818, 657, 1150018764, 337
DATA, 2018, 317663, 285, 410789773, 367
DATA, 2018, 317297, 170, 233715982, 452
DATA, 2018, 317320, 3, 2974876, 302
DATA, 2018, 315645, 585, 541025444, 313
DATA, 2018, 315705, 276, 198006058, 488
DATA, 2018, 320824, 59, 87801840, 346
DATA, 2018, 315790, 415, 285791856, 335
DATA, 2018, 317661, 376, 533431311, 312
DATA, 2018, 320838, 299, 437533226, 335
DATA, 2018, 315705, 58, 44238413, 370
DATA, 2018, 317683, 116, 131123419, 311
DATA, 2018, 317696, 195, 245763381, 378
DATA, 2018, 316615, 51, 32359478, 431
DATA, 2018, 316240, 514, 699156159, 402
DATA, 2018, 319579, 1327, 1987473642, 319
DATA, 2018, 315689, 367, 426941791, 313
DATA, 2018, 316717, 47, 57103932, 336
DATA, 2018, 321305, 2245, 3435964741, 349
DATA, 2018, 317591, 110, 131352516, 364
DATA, 2018, 317591, 120, 145066700, 306
DATA, 2018, 317626, 271, 376502176, 349
DATA, 2018, 317661, 627, 927272197, 367
DATA, 2018, 316470, 306, 403640099, 336
DATA, 2018, 321295, 189, 303510905, 360
DATA, 2018, 321988, 472, 817040929, 358
DATA, 2018, 316590, 314, 440850175, 309
DATA, 2018, 317626, 702, 1065511120, 361
DATA, 2018, 317626, 489, 721460037, 308
