# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
TTWJetsToLNu, 2017, 1, 178, 200489, 324
TTZToLLNuNu_M-10, 2017, 1, 125, 93270, 315
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 578, 3827639, 359
TTJets_DiLept_genMET-150, 2017, 1, 49202, 296389222, 319
TTZToQQ, 2017, 1, 799, 2565290, 407
TTGJets, 2017, 1, 224, 378935, 505
TTWJetsToQQ, 2017, 1, 65, 85670, 302
TTZToLLNuNu_M-10, 2017, 1, 126, 94164, 304
TTTT, 2017, 1, 421, 273729, 381
TTZToLLNuNu_M-10, 2017, 1, 430, 321323, 389
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 3403, 22382818, 302
TTGJets, 2017, 1, 6230, 10539874, 326
ttHTobb_M125, 2017, 1, 2065, 1997953, 481
TTZToLLNuNu_M-10, 2017, 1, 181, 135215, 515
ttHTobb_M125, 2017, 1, 2068, 2000904, 360
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 21178, 140278980, 301
TTZToLLNuNu_M-10, 2017, 1, 182, 135946, 468
TTZToLLNuNu_M-10, 2017, 1, 182, 136029, 352
TTWJetsToLNu, 2017, 1, 223, 250576, 414
TTWJetsToLNu, 2017, 1, 223, 251755, 498
TTWJetsToLNu, 2017, 1, 464, 523833, 313
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 26357, 173374663, 383
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 32035, 210719945, 313
TTZToLLNuNu_M-10, 2017, 1, 218, 163471, 398
TTZToLLNuNu_M-10, 2017, 1, 400, 299068, 309
TTZToLLNuNu_M-10, 2017, 1, 402, 300632, 316
TTZToLLNuNu_M-10, 2017, 1, 404, 302660, 369
TTZToLLNuNu_M-10, 2017, 1, 226, 168565, 327
TTZToLLNuNu_M-10, 2017, 1, 226, 168798, 443
TTZToQQ, 2017, 1, 8991, 9965632, 402
ttHTobb_M125, 2017, 1, 2326, 2250560, 330
TTZToLLNuNu_M-10, 2017, 1, 525, 392725, 368
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 117416, 772358640, 350
TTGJets, 2017, 1, 38, 63920, 309
TTZToLLNuNu_M-10, 2017, 1, 1036, 775264, 311
TTZToLLNuNu_M-10, 2017, 1, 655, 490166, 659
TTWJetsToLNu, 2017, 1, 269, 303685, 411
TTZToLLNuNu_M-10, 2017, 1, 1175, 878951, 399
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 103669, 681934548, 375
TTZToLLNuNu_M-10, 2017, 1, 659, 493054, 367
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 115902, 762399356, 324
TTZToLLNuNu_M-10, 2017, 1, 704, 526543, 393
TTZToLLNuNu_M-10, 2017, 1, 704, 526968, 304
TTWJetsToLNu, 2017, 1, 32, 36153, 316
TTWJetsToQQ, 2017, 1, 783, 1042539, 336
