# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
DATA, 2016, 274388, 1769, 3106188972, 319
DATA, 2016, 275836, 3, 5946947, 305
DATA, 2016, 276437, 1372, 2501262575, 326
DATA, 2016, 274440, 406, 611480548, 329
DATA, 2016, 276437, 1110, 2017804202, 304
DATA, 2016, 275311, 640, 790242300, 325
DATA, 2016, 275837, 382, 614484926, 344
DATA, 2016, 274969, 898, 1600855522, 380
DATA, 2016, 275657, 23, 46070597, 320
DATA, 2016, 276501, 1248, 2100776612, 440
DATA, 2016, 275890, 483, 907048195, 358
DATA, 2016, 276525, 771, 1275319643, 466
DATA, 2016, 274388, 294, 565670599, 382
DATA, 2016, 274441, 66, 110874151, 411
DATA, 2016, 275001, 592, 860570185, 367
DATA, 2016, 276097, 236, 454925634, 334
DATA, 2016, 276935, 104, 69646663, 357
DATA, 2016, 276525, 2187, 3770482797, 354
DATA, 2016, 275001, 1352, 1849524965, 349
DATA, 2016, 277094, 439, 779685878, 409
DATA, 2016, 275890, 628, 1205259132, 333
DATA, 2016, 277096, 1197, 2097309390, 360
DATA, 2016, 278240, 770, 1474928640, 368
DATA, 2016, 279694, 1235, 2296975112, 349
DATA, 2016, 278308, 1414, 2386075197, 354
DATA, 2016, 275376, 2039, 3006852770, 327
DATA, 2016, 275376, 2837, 3941295547, 314
DATA, 2016, 275782, 709, 1276917789, 320
DATA, 2016, 275836, 133, 266602786, 476
DATA, 2016, 279931, 2146, 3677291856, 330
DATA, 2016, 279931, 1705, 2939934227, 412
DATA, 2016, 274160, 71, 132798950, 342
DATA, 2016, 276242, 1443, 2700780376, 306
DATA, 2016, 281693, 1165, 2213343185, 318
DATA, 2016, 277168, 1368, 2514000033, 312
DATA, 2016, 274319, 203, 284895694, 405
DATA, 2016, 280385, 102, 189023807, 334
DATA, 2016, 276935, 537, 828369646, 313
DATA, 2016, 275125, 727, 1305309479, 333
DATA, 2016, 278975, 491, 776564951, 385
DATA, 2016, 281693, 628, 1185826207, 441
DATA, 2016, 277194, 844, 1448871047, 308
DATA, 2016, 276831, 842, 1500399068, 335
DATA, 2016, 278018, 656, 1196544052, 314
DATA, 2016, 276653, 329, 493375070, 331
DATA, 2016, 281797, 1904, 3200651774, 317
DATA, 2016, 276811, 1834, 3050820563, 301
DATA, 2016, 279794, 552, 891262156, 376
DATA, 2016, 278969, 530, 845635142, 367
DATA, 2016, 276950, 902, 1640676078, 316
DATA, 2016, 279588, 837, 1444409668, 308
DATA, 2016, 275782, 598, 1089075720, 388
DATA, 2016, 278808, 824, 1503706289, 327
DATA, 2016, 278018, 222, 399952920, 402
DATA, 2016, 275125, 285, 547441495, 327
DATA, 2016, 275376, 1692, 2572788871, 312
DATA, 2016, 277076, 324, 553494674, 319
DATA, 2016, 274161, 159, 281234747, 551
DATA, 2016, 277087, 394, 369108234, 374
DATA, 2016, 283877, 605, 1143457570, 306
DATA, 2016, 278018, 84, 152731636, 356
DATA, 2016, 279760, 576, 940155563, 321
DATA, 2016, 279841, 1761, 3073853270, 390
DATA, 2016, 276831, 2560, 4564137409, 513
DATA, 2016, 279931, 1346, 2352075702, 323
DATA, 2016, 282037, 706, 1275741169, 372
DATA, 2016, 282092, 101, 39293549, 328
DATA, 2016, 282092, 1722, 2802281660, 311
DATA, 2016, 278308, 458, 774183790, 328
DATA, 2016, 283283, 808, 1559153868, 345
DATA, 2016, 276458, 330, 412275662, 443
DATA, 2016, 276525, 978, 1665432035, 322
DATA, 2016, 278509, 1148, 1926074086, 357
DATA, 2016, 275000, 108, 168911727, 301
DATA, 2016, 277194, 1440, 2545091609, 387
DATA, 2016, 279841, 1077, 1852265301, 346
DATA, 2016, 276587, 911, 1286457046, 949
DATA, 2016, 280363, 239, 378745696, 321
DATA, 2016, 283946, 458, 636614779, 306
DATA, 2016, 283946, 468, 654230908, 375
DATA, 2016, 278820, 782, 1436167342, 330
DATA, 2016, 276834, 328, 462528294, 300
DATA, 2016, 283270, 970, 1586815192, 318
DATA, 2016, 275345, 7, 13723975, 523
DATA, 2016, 278923, 62, 48913545, 301
DATA, 2016, 273725, 679, 1038645780, 303
DATA, 2016, 278808, 846, 1539266590, 423
DATA, 2016, 274284, 128, 261884269, 397
DATA, 2016, 278805, 6, 10596753, 305
DATA, 2016, 280349, 106, 197387477, 346
DATA, 2016, 275376, 642, 1086277114, 399
DATA, 2016, 283408, 423, 693266279, 498
DATA, 2016, 276935, 542, 836147139, 313
DATA, 2016, 277127, 783, 1465773982, 454
DATA, 2016, 282735, 178, 362753751, 338
DATA, 2016, 275125, 703, 1267084212, 383
DATA, 2016, 283408, 1331, 2297558413, 347
DATA, 2016, 277096, 531, 934769005, 311
DATA, 2016, 276831, 72, 38160985, 494
DATA, 2016, 279716, 332, 619559077, 352
DATA, 2016, 273725, 140, 171893940, 324
DATA, 2016, 275068, 245, 487996276, 304
DATA, 2016, 282919, 173, 333476883, 431
DATA, 2016, 274388, 87, 171804242, 578
DATA, 2016, 280249, 884, 1624548195, 368
DATA, 2016, 283353, 420, 626035432, 363
DATA, 2016, 273448, 260, 375766226, 304
DATA, 2016, 278820, 40, 63866054, 332
DATA, 2016, 279116, 236, 413288149, 345
DATA, 2016, 274955, 11, 10450116, 357
DATA, 2016, 280017, 348, 620515341, 312
DATA, 2016, 278975, 320, 526375640, 351
DATA, 2016, 275311, 212, 271873698, 344
DATA, 2016, 275375, 1379, 2387529118, 371
DATA, 2016, 281641, 188, 317971035, 482
DATA, 2016, 280330, 92, 175188082, 318
DATA, 2016, 280349, 188, 354824973, 366
DATA, 2016, 279667, 456, 718379347, 383
DATA, 2016, 274161, 251, 437792903, 394
DATA, 2016, 282034, 20, 43131768, 346
DATA, 2016, 282814, 475, 926533154, 339
DATA, 2016, 279823, 207, 272754841, 430
DATA, 2016, 280349, 7, 12134025, 347
DATA, 2016, 284037, 316, 592516693, 305
DATA, 2016, 283043, 83, 143877630, 310
DATA, 2016, 278969, 444, 692072191, 347
DATA, 2016, 281693, 285, 541179917, 322
DATA, 2016, 283306, 14, 20760733, 344
DATA, 2016, 283453, 390, 568140670, 335
DATA, 2016, 283283, 1021, 1909541725, 317
DATA, 2016, 283307, 444, 847787692, 400
DATA, 2016, 280330, 193, 360317765, 309
DATA, 2016, 278962, 118, 106322388, 325
DATA, 2016, 278820, 962, 1763836635, 340
DATA, 2016, 279760, 110, 95221836, 308
DATA, 2016, 282842, 19, 37246356, 347
DATA, 2016, 279975, 485, 763399657, 326
DATA, 2016, 283820, 656, 1153879890, 396
