# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
TTZToLLNuNu_M-10, 2016, 1, 28846, 5646434, 421
ttHTobb_M125, 2016, 1, 18503, 3700578, 338
TTZToLLNuNu_M-10, 2016, 1, 12646, 2475438, 490
ttHTobb_M125, 2016, 1, 6825, 1364894, 310
ttHTobb_M125, 2016, 1, 1296, 259002, 325
ttHTobb_M125, 2016, 1, 3684, 736696, 318
ttHTobb_M125, 2016, 1, 23044, 4608670, 337
TTZToLLNuNu_M-10, 2016, 1, 18388, 3599442, 352
TTWJetsToLNu, 2016, 1, 2452, 759914, 458
TTZToLLNuNu_M-10, 2016, 1, 17897, 3503202, 420
TTWJetsToLNu, 2016, 1, 4845, 1501796, 396
TTZToLLNuNu_M-10, 2016, 1, 28952, 5667192, 521
ttHTobb_M125, 2016, 1, 20856, 4171041, 382
TTJets_DiLept_genMET-150, 2016, 1, 251149, 644196960, 388
ttHTobb_M125, 2016, 1, 33886, 6777177, 310
TTWJetsToLNu, 2016, 1, 12031, 3729431, 429
TTZToLLNuNu_M-10, 2016, 1, 14784, 2893886, 404
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 137126, 394922549, 318
TTZToLLNuNu_M-10, 2016, 1, 8933, 1748452, 312
TTZToLLNuNu_M-10, 2016, 1, 22107, 4327452, 818
ttHTobb_M125, 2016, 1, 41104, 8220664, 303
ttHTobb_M125, 2016, 1, 40883, 8176506, 365
TTZToLLNuNu_M-10, 2016, 1, 13510, 2644449, 317
TTWJetsToLNu, 2016, 1, 4077, 1263751, 444
TTZToLLNuNu_M-10, 2016, 1, 7737, 1514452, 481
TTZToLLNuNu_M-10, 2016, 1, 21737, 4254892, 444
TTWJetsToLNu, 2016, 1, 16607, 5147977, 361
ttHTobb_M125, 2016, 1, 3392, 678240, 382
ttHTobb_M125, 2016, 1, 34373, 6874575, 324
ttHTobb_M125, 2016, 1, 33587, 6717307, 329
ttHTobb_M125, 2016, 1, 14684, 2936798, 448
ttHTobb_M125, 2016, 1, 30929, 6185722, 362
ttHTobb_M125, 2016, 1, 31043, 6208538, 335
TTWJetsToLNu, 2016, 1, 15855, 4915058, 410
TTZToLLNuNu_M-10, 2016, 1, 18351, 3592113, 379
ttHTobb_M125, 2016, 1, 30331, 6066175, 321
TTZToLLNuNu_M-10, 2016, 1, 19233, 3764796, 485
TTWJetsToLNu, 2016, 1, 12553, 3891427, 543
TTZToLLNuNu_M-10, 2016, 1, 29349, 5745002, 360
ttHTobb_M125, 2016, 1, 42228, 8445428, 412
ttHTobb_M125, 2016, 1, 40202, 8040372, 682
ttHTobb_M125, 2016, 1, 42354, 8470767, 317
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 238193, 685995805, 352
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 18618, 53619785, 379
TTJets_DiLept_genMET-150, 2016, 1, 167295, 429110001, 377
ttHTobb_M125, 2016, 1, 16891, 3378088, 328
TTWJetsToLNu, 2016, 1, 10069, 3121149, 304
ttHTobb_M125, 2016, 1, 15598, 3119579, 378
TTZToLLNuNu_M-10, 2016, 1, 29852, 5843371, 303
ttHTobb_M125, 2016, 1, 14585, 2916824, 310
ttHTobb_M125, 2016, 1, 14667, 2933384, 339
ttHTobb_M125, 2016, 1, 26385, 5276950, 322
TTWJetsToLNu, 2016, 1, 13037, 2861627, 300
ttHTobb_M125, 2016, 1, 30057, 6011245, 399
ttHTobb_M125, 2016, 1, 31502, 6300264, 316
TTWJetsToLNu, 2016, 1, 2031, 445631, 569
TTJets_DiLept_genMET-150, 2016, 1, 248246, 636750143, 313
ttHTobb_M125, 2016, 1, 40701, 8140106, 310
ttHTobb_M125, 2016, 1, 37327, 7465343, 344
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 260176, 666049088, 325
TTZToLLNuNu_M-10, 2016, 1, 13435, 2629895, 406
ttHTobb_M125, 2016, 1, 5287, 1057359, 301
TTZToLLNuNu_M-10, 2016, 1, 13749, 2691360, 388
TTZToLLNuNu_M-10, 2016, 1, 30278, 5926838, 574
ttHTobb_M125, 2016, 1, 8961, 1792159, 368
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 302089, 870014536, 300
TTWJetsToLNu, 2016, 1, 16149, 3544561, 322
TTZToLLNuNu_M-10, 2016, 1, 12879, 2521035, 356
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 94971, 273514429, 310
TTZToLLNuNu_M-10, 2016, 1, 14081, 2756325, 335
TTZToLLNuNu_M-10, 2016, 1, 15305, 2995913, 425
TTJets_DiLept_genMET-150, 2016, 1, 8946, 22945485, 346
ttHTobb_M125, 2016, 1, 43721, 8744149, 366
TTZToLLNuNu_M-10, 2016, 1, 23992, 4696294, 332
TTWJetsToLNu, 2016, 1, 7031, 2179427, 422
TTZToLLNuNu_M-10, 2016, 1, 27816, 5444911, 452
TTZToLLNuNu_M-10, 2016, 1, 24012, 4700202, 368
TTJets_DiLept_genMET-150, 2016, 1, 79253, 203282050, 423
TTZToLLNuNu_M-10, 2016, 1, 15597, 3052957, 393
TTZToLLNuNu_M-10, 2016, 1, 15870, 3106395, 318
TTZToLLNuNu_M-10, 2016, 1, 23577, 4615068, 446
TTZToLLNuNu_M-10, 2016, 1, 17156, 3358166, 346
ttHTobb_M125, 2016, 1, 25770, 5153803, 357
ttHTobb_M125, 2016, 1, 28031, 5606169, 350
ttHTobb_M125, 2016, 1, 29882, 5976278, 330
TTZToLLNuNu_M-10, 2016, 1, 25541, 4999638, 326
ttHTobb_M125, 2016, 1, 29471, 5894139, 321
ttHTobb_M125, 2016, 1, 40584, 8116632, 318
TTWJetsToLNu, 2016, 1, 1887, 584845, 353
ZJetsToNuNu_HT-200To400, 2016, 1, 24151, 52514873, 300
ttHTobb_M125, 2016, 1, 45470, 9093978, 342
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 215967, 621983388, 355
ttHTobb_M125, 2016, 1, 19218, 3843558, 353
ttHTobb_M125, 2016, 1, 11029, 2205662, 373
ttHTobb_M125, 2016, 1, 18556, 3711090, 329
TTWJetsToLNu, 2016, 1, 16978, 5263176, 376
TTZToLLNuNu_M-10, 2016, 1, 24689, 4832692, 605
ttHTobb_M125, 2016, 1, 16063, 3212416, 310
ZJetsToNuNu_HT-800To1200, 2016, 1, 13527, 25333621, 444
ttHTobb_M125, 2016, 1, 14037, 2807259, 325
