# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
TTWJetsToQQ, 2016, 1, 54, 8982, 384
TTZToLLNuNu_M-10, 2016, 1, 19314, 3780683, 310
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 112095, 286960754, 401
TTWJetsToLNu, 2016, 1, 20, 6196, 328
TTGJets, 2016, 1, 53534, 8672457, 373
TTZToLLNuNu_M-10, 2016, 1, 8705, 1703890, 340
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 111782, 286161449, 305
TTZToLLNuNu_M-10, 2016, 1, 10380, 2031725, 370
TTZToLLNuNu_M-10, 2016, 1, 10380, 2031809, 576
TTZToLLNuNu_M-10, 2016, 1, 25258, 4944183, 348
TTZToLLNuNu_M-10, 2016, 1, 25385, 4968929, 412
TTZToLLNuNu_M-10, 2016, 1, 25388, 4969544, 306
TTJets_DiLept_genMET-150, 2016, 1, 133575, 342618260, 336
ttHTobb_M125, 2016, 1, 22681, 4536133, 392
TTZToLLNuNu_M-10, 2016, 1, 10454, 2046317, 383
TTWJetsToLNu, 2016, 1, 8936, 2770091, 331
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 313351, 902450869, 317
ttHTobb_M125, 2016, 1, 22653, 4530559, 342
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 291769, 746926638, 330
TTZToLLNuNu_M-10, 2016, 1, 18811, 3682260, 392
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 256505, 738734115, 385
TTGJets, 2016, 1, 33059, 5355445, 332
TTZToLLNuNu_M-10, 2016, 1, 8535, 1670589, 349
TTZToLLNuNu_M-10, 2016, 1, 10622, 2079230, 327
TTZToLLNuNu_M-10, 2016, 1, 8517, 1667145, 810
TTZToLLNuNu_M-10, 2016, 1, 8518, 1667349, 416
TTJets_DiLept_genMET-150, 2016, 1, 173412, 444801374, 457
TTZToQQ, 2016, 1, 2010, 399386, 311
TTZToLLNuNu_M-10, 2016, 1, 8949, 1751713, 487
TTZToLLNuNu_M-10, 2016, 1, 10975, 2148349, 424
TTGJets, 2016, 1, 51259, 8303892, 359
TTZToLLNuNu_M-10, 2016, 1, 21011, 4112824, 310
TTZToLLNuNu_M-10, 2016, 1, 22588, 4421543, 355
TTZToLLNuNu_M-10, 2016, 1, 27773, 5436538, 313
TTZToQQ, 2016, 1, 2044, 406232, 353
TTWJetsToLNu, 2016, 1, 111, 34275, 307
TTZToLLNuNu_M-10, 2016, 1, 22919, 4486347, 391
TTZToLLNuNu_M-10, 2016, 1, 25275, 4947531, 309
TTZToLLNuNu_M-10, 2016, 1, 25421, 4976118, 317
ttHTobb_M125, 2016, 1, 7514, 1502746, 393
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 134135, 386307299, 447
TTZToLLNuNu_M-10, 2016, 1, 27792, 5440196, 446
TTZToQQ, 2016, 1, 414, 82189, 304
TTZToLLNuNu_M-10, 2016, 1, 19001, 3719313, 324
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 229038, 586335785, 391
TTZToLLNuNu_M-10, 2016, 1, 25513, 4994021, 371
TTZToQQ, 2016, 1, 600, 119156, 538
TTZToLLNuNu_M-10, 2016, 1, 28854, 5647987, 368
ttHTobb_M125, 2016, 1, 3704, 740800, 311
ttHTobb_M125, 2016, 1, 3794, 758739, 361
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 283716, 726312359, 323
