# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
DATA, 2017, 300515, 758, 1196462425, 309
DATA, 2017, 297178, 537, 693948386, 417
DATA, 2017, 302131, 261, 228843162, 475
DATA, 2017, 302263, 520, 462946742, 416
DATA, 2017, 297505, 234, 351657243, 376
DATA, 2017, 297050, 340, 427571078, 370
DATA, 2017, 302596, 302, 354178337, 337
DATA, 2017, 305045, 300, 521323288, 390
DATA, 2017, 302131, 409, 365033160, 326
DATA, 2017, 300497, 106, 130256011, 393
DATA, 2017, 300497, 107, 131382986, 458
DATA, 2017, 304169, 374, 582415507, 368
DATA, 2017, 302240, 471, 479632057, 369
DATA, 2017, 302240, 522, 523702755, 419
DATA, 2017, 297411, 181, 272784265, 318
DATA, 2017, 304671, 527, 845806695, 362
DATA, 2017, 305207, 1006, 1632449706, 326
DATA, 2017, 302322, 731, 585226141, 327
DATA, 2017, 305862, 466, 759945887, 345
DATA, 2017, 300817, 236, 331204328, 317
DATA, 2017, 301397, 537, 394125153, 616
DATA, 2017, 300157, 244, 262422639, 323
DATA, 2017, 297296, 289, 416421452, 319
DATA, 2017, 304654, 228, 363153303, 337
DATA, 2017, 301984, 216, 258609587, 322
DATA, 2017, 303885, 530, 765000700, 304
DATA, 2017, 305059, 349, 480660190, 384
DATA, 2017, 297050, 556, 668323022, 343
DATA, 2017, 304158, 302, 267597599, 437
DATA, 2017, 305590, 474, 626229390, 339
DATA, 2017, 301997, 118, 105818777, 386
DATA, 2017, 299593, 589, 759538053, 309
DATA, 2017, 302525, 57, 78929304, 463
DATA, 2017, 297665, 162, 269725187, 341
DATA, 2017, 304508, 387, 580398508, 307
DATA, 2017, 303999, 223, 381219057, 324
DATA, 2017, 302597, 380, 335155430, 320
DATA, 2017, 302031, 91, 102915744, 323
DATA, 2017, 302031, 288, 311024755, 312
DATA, 2017, 301627, 840, 693682604, 305
DATA, 2017, 301914, 44, 31083782, 460
DATA, 2017, 301914, 55, 39409345, 488
DATA, 2017, 302448, 74, 68214179, 316
DATA, 2017, 305814, 119, 94718951, 403
DATA, 2017, 297656, 412, 682797965, 331
DATA, 2017, 301461, 141, 112580190, 330
DATA, 2017, 297562, 148, 246479478, 322
DATA, 2017, 299481, 1024, 1091891615, 366
DATA, 2017, 302228, 118, 70502510, 333
DATA, 2017, 297722, 174, 238007314, 368
DATA, 2017, 301283, 847, 686768980, 360
DATA, 2017, 303838, 284, 418615798, 319
DATA, 2017, 304125, 214, 377393474, 304
DATA, 2017, 302263, 987, 820980539, 478
DATA, 2017, 301447, 293, 275514620, 329
DATA, 2017, 302573, 445, 454152194, 411
DATA, 2017, 297468, 40, 73256235, 301
DATA, 2017, 301519, 193, 153455040, 314
DATA, 2017, 305365, 1, 1553433, 404
DATA, 2017, 297219, 508, 974571195, 357
DATA, 2017, 303998, 67, 30799547, 378
DATA, 2017, 302262, 273, 290744520, 319
DATA, 2017, 301472, 403, 387937057, 316
DATA, 2017, 304169, 613, 957604301, 369
DATA, 2017, 305248, 440, 794584711, 318
DATA, 2017, 297483, 123, 149488821, 441
DATA, 2017, 303838, 358, 533550672, 429
DATA, 2017, 297178, 59, 82741864, 332
DATA, 2017, 306135, 247, 449831530, 501
DATA, 2017, 302225, 55, 7212259, 316
DATA, 2017, 297484, 147, 282777437, 319
DATA, 2017, 299065, 330, 469603222, 361
DATA, 2017, 302344, 88, 81547621, 305
DATA, 2017, 302344, 92, 85120888, 353
DATA, 2017, 301987, 168, 130344919, 314
DATA, 2017, 300240, 105, 91627342, 374
DATA, 2017, 299597, 467, 486631631, 372
DATA, 2017, 299480, 675, 946639784, 301
DATA, 2017, 305814, 231, 311739042, 311
DATA, 2017, 304144, 1138, 1923204885, 343
DATA, 2017, 300280, 594, 783898449, 307
DATA, 2017, 305898, 365, 575173351, 306
DATA, 2017, 304062, 2014, 2386118344, 520
DATA, 2017, 300157, 1076, 1054366291, 321
DATA, 2017, 301532, 267, 171037448, 328
DATA, 2017, 301664, 95, 68653866, 410
DATA, 2017, 305064, 295, 491106286, 312
DATA, 2017, 300576, 937, 1355671869, 315
DATA, 2017, 305586, 545, 927605671, 408
DATA, 2017, 300467, 4, 3460008, 388
DATA, 2017, 305365, 268, 452336180, 363
DATA, 2017, 305821, 148, 205996267, 543
DATA, 2017, 306038, 17, 31759644, 648
DATA, 2017, 301987, 1115, 742640537, 310
DATA, 2017, 305313, 410, 703119614, 712
DATA, 2017, 305440, 218, 369745542, 300
DATA, 2017, 303832, 1474, 1562976410, 385
DATA, 2017, 305840, 922, 1563026055, 336
DATA, 2017, 299370, 286, 357239445, 331
DATA, 2017, 300785, 484, 621635430, 448
DATA, 2017, 305237, 1087, 2029968294, 324
DATA, 2017, 300155, 95, 93766074, 305
DATA, 2017, 305310, 423, 717297922, 308
DATA, 2017, 305081, 583, 996149750, 397
DATA, 2017, 304506, 309, 497133194, 315
DATA, 2017, 304654, 626, 961173453, 330
DATA, 2017, 304662, 63, 96131793, 314
DATA, 2017, 304125, 157, 283827407, 371
DATA, 2017, 304158, 539, 649427654, 404
