# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
ttHTobb_M125, 2017, 1, 2248, 2174882, 358
ttHTobb_M125, 2017, 1, 2070, 2002859, 351
ttHTobb_M125, 2017, 1, 2335, 2259383, 309
TTWJetsToLNu, 2017, 1, 1423, 1603964, 437
ttHTobb_M125, 2017, 1, 3873, 3747526, 415
ttHTobb_M125, 2017, 1, 2764, 2674628, 324
TTJets_DiLept_genMET-150, 2017, 1, 23320, 140479225, 432
TTZToLLNuNu_M-10, 2017, 1, 289, 215969, 318
TTZToLLNuNu_M-10, 2017, 1, 10564, 7905290, 358
TTZToLLNuNu_M-10, 2017, 1, 1519, 1136356, 311
TTZToLLNuNu_M-10, 2017, 1, 1853, 1386510, 432
ttHTobb_M125, 2017, 1, 3165, 3062017, 315
ttHTobb_M125, 2017, 1, 3165, 3062561, 322
TTWJetsToLNu, 2017, 1, 620, 699928, 306
TTZToLLNuNu_M-10, 2017, 1, 2474, 1851309, 309
TTWJetsToLNu, 2017, 1, 884, 997266, 322
TTWJetsToLNu, 2017, 1, 2341, 2640315, 394
TTZToLLNuNu_M-10, 2017, 1, 10672, 7985766, 374
ttHTobb_M125, 2017, 1, 3093, 2992426, 308
TTZToLLNuNu_M-10, 2017, 1, 7463, 5585259, 345
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 151215, 1001643401, 311
TTWJetsToLNu, 2017, 1, 1596, 1799666, 438
ttHTobb_M125, 2017, 1, 8191, 7925800, 346
TTZToLLNuNu_M-10, 2017, 1, 4456, 3334280, 320
ttHTobb_M125, 2017, 1, 4360, 4218940, 312
TTZToLLNuNu_M-10, 2017, 1, 4602, 3443632, 372
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 45971, 302392719, 333
TTZToLLNuNu_M-10, 2017, 1, 4949, 3703057, 324
TTZToLLNuNu_M-10, 2017, 1, 4865, 3640904, 324
TTZToQQ, 2017, 1, 4057, 3894101, 305
TTZToLLNuNu_M-10, 2017, 1, 6112, 4573577, 501
TTZToQQ, 2017, 1, 7819, 9057703, 332
ttHTobb_M125, 2017, 1, 6556, 6343071, 307
ttHTobb_M125, 2017, 1, 236, 228006, 309
ttHTobb_M125, 2017, 1, 1402, 1356458, 413
TTWJetsToLNu, 2017, 1, 1763, 1988912, 474
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 27323, 180981008, 316
TTZToQQ, 2017, 1, 3844, 3681691, 339
TTZToLLNuNu_M-10, 2017, 1, 5413, 4050373, 321
ttHTobb_M125, 2017, 1, 2734, 2645104, 354
ttHTobb_M125, 2017, 1, 2649, 2562838, 369
TTZToLLNuNu_M-10, 2017, 1, 5506, 4119907, 494
TTZToLLNuNu_M-10, 2017, 1, 5506, 4120087, 401
TTWJetsToLNu, 2017, 1, 2579, 2908162, 590
TTZToLLNuNu_M-10, 2017, 1, 6512, 4873010, 344
TTZToQQ, 2017, 1, 1272, 3035536, 365
TTZToLLNuNu_M-10, 2017, 1, 7262, 5434156, 515
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 44435, 294331655, 305
ttHTobb_M125, 2017, 1, 405, 391312, 356
TTZToLLNuNu_M-10, 2017, 1, 6119, 4579402, 312
TTWJetsToLNu, 2017, 1, 3355, 3783058, 386
TTZToLLNuNu_M-10, 2017, 1, 7295, 5459433, 410
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 46223, 306177787, 366
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 49855, 330239471, 411
TTZToLLNuNu_M-10, 2017, 1, 6649, 4974983, 340
TTZToLLNuNu_M-10, 2017, 1, 6749, 5050885, 358
TTZToLLNuNu_M-10, 2017, 1, 7676, 5744067, 413
ttHTobb_M125, 2017, 1, 1490, 1440925, 334
TTJets_DiLept_genMET-150, 2017, 1, 54576, 328764886, 419
ttHTobb_M125, 2017, 1, 922, 891688, 344
TTWJetsToLNu, 2017, 1, 6272, 7072437, 327
TTZToLLNuNu_M-10, 2017, 1, 6805, 5091773, 379
TTZToQQ, 2017, 1, 1203, 661138, 330
